                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6473,                 4.2653,                 1.6854,                0.12268,                0.38462,                0.10908,                0.03058,                    nan,                    nan,                    nan,                0.00028,                0.00028,                0.00028
                      2,                 1.7375,                   2.51,                 1.7282,                0.12268,                0.38462,                0.10908,                0.03058,                    nan,                    nan,                    nan,             0.00057885,             0.00057885,             0.00057885
                      3,                 1.9817,                 2.4754,                 1.8574,                0.12268,                0.38462,                0.10908,                0.03058,                    nan,                    nan,                    nan,             0.00087652,             0.00087652,             0.00087652
                      4,                 1.9823,                 2.4893,                 1.9355,                0.12268,                0.38462,                0.10908,                0.03058,                    nan,                    nan,                    nan,               0.001173,               0.001173,               0.001173
                      5,                 2.1149,                  2.328,                 1.9429,                0.12268,                0.38462,                0.10908,                0.03058,                    nan,                    nan,                    nan,              0.0014683,              0.0014683,              0.0014683
                      6,                 2.2665,                 2.5928,                 2.1064,                0.12268,                0.38462,                0.10908,                0.03058,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      7,                 2.0654,                 2.4037,                 1.9855,                0.12268,                0.38462,                0.10908,                0.03058,                    nan,                    nan,                    nan,              0.0019762,              0.0019762,              0.0019762
                      8,                 2.0562,                 2.1309,                 1.9365,                0.12268,                0.38462,                0.10908,                0.03058,                    nan,                    nan,                    nan,              0.0019762,              0.0019762,              0.0019762
                      9,                  2.084,                 2.1191,                 1.9441,                0.12268,                0.38462,                0.10908,                0.03058,                    nan,                    nan,                    nan,              0.0019723,              0.0019723,              0.0019723
                     10,                 1.9017,                 1.9499,                  1.821,                0.12268,                0.38462,                0.10908,                0.03058,                    nan,                    nan,                    nan,              0.0019683,              0.0019683,              0.0019683
                     11,                 1.8939,                 2.1107,                  1.892,                0.00281,                0.15385,                0.00162,                0.00042,                 3.9045,                 279.64,                 43.028,              0.0019644,              0.0019644,              0.0019644
                     12,                 1.8995,                 2.0662,                 1.8436,                0.00592,                0.15385,                 0.0026,                0.00062,                 3.7195,                 427.57,                 37.526,              0.0019604,              0.0019604,              0.0019604
                     13,                 1.8419,                 1.8737,                 1.7704,                0.00716,                0.53846,                0.00571,                0.00218,                 3.0815,                 181.38,                 26.094,              0.0019564,              0.0019564,              0.0019564
                     14,                 1.8556,                 1.9071,                  1.765,                0.00716,                0.53846,                0.00571,                0.00218,                 3.7083,                 6.4655,                 5.9059,              0.0019525,              0.0019525,              0.0019525
                     15,                 1.7666,                 1.8203,                 1.7552,                0.15856,                0.07692,                0.05273,                0.03194,                 4.2602,                 4.1175,                 6.6113,              0.0019485,              0.0019485,              0.0019485
                     16,                 1.7282,                 1.8233,                 1.7424,                0.28451,                0.34615,                0.23648,                0.10054,                 2.2085,                 3.5203,                 2.5228,              0.0019446,              0.0019446,              0.0019446
                     17,                 1.7156,                 1.7117,                 1.7309,                0.43166,                0.38462,                0.39168,                0.20277,                 2.0753,                 2.0794,                 2.4368,              0.0019406,              0.0019406,              0.0019406
                     18,                 1.6262,                 1.6283,                 1.6597,                0.70434,                0.30769,                0.40875,                0.23354,                 1.8288,                 2.2848,                 2.1695,              0.0019366,              0.0019366,              0.0019366
                     19,                 1.6643,                 1.6924,                 1.6582,                0.66552,                0.07692,                0.08104,                0.05088,                  3.393,                 5.9208,                 4.4257,              0.0019327,              0.0019327,              0.0019327
                     20,                 1.6598,                 1.6642,                 1.7124,                0.49227,                0.67149,                0.58737,                0.31985,                 1.5361,                 2.2883,                 1.9598,              0.0019287,              0.0019287,              0.0019287
                     21,                   1.57,                 1.4823,                 1.6017,                0.71775,                0.69231,                0.67334,                0.35704,                 1.7603,                 2.3041,                 2.1826,              0.0019248,              0.0019248,              0.0019248
                     22,                 1.6386,                 1.5439,                 1.6648,                0.88771,                0.60847,                0.68808,                0.37956,                 1.5974,                 1.9682,                 1.9679,              0.0019208,              0.0019208,              0.0019208
                     23,                 1.6684,                 1.6351,                 1.6945,                0.40983,                0.34615,                0.38264,                0.17456,                 2.2089,                 1.8513,                 2.4223,              0.0019168,              0.0019168,              0.0019168
                     24,                 1.4834,                 1.4763,                 1.5367,                0.59913,                0.69231,                0.58332,                0.32476,                  1.633,                 1.8615,                 2.0137,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.5094,                 1.4879,                 1.5431,                0.59137,                0.83514,                0.72212,                0.36197,                 1.4603,                  1.973,                 1.8815,              0.0019089,              0.0019089,              0.0019089
                     26,                  1.623,                 1.5169,                 1.5551,                0.55969,                0.69231,                0.57855,                0.32907,                 1.3496,                 1.7192,                 1.8835,               0.001905,               0.001905,               0.001905
                     27,                 1.5619,                 1.5162,                 1.5959,                0.46945,                0.57692,                0.61017,                0.33356,                 1.7865,                 1.5629,                  2.022,               0.001901,               0.001901,               0.001901
                     28,                  1.598,                 1.5108,                 1.6072,                0.78993,                0.69231,                0.76592,                0.48913,                 1.2614,                  1.423,                 1.6591,               0.001897,               0.001897,               0.001897
                     29,                 1.4155,                 1.3988,                 1.5139,                 0.8519,                0.66406,                0.81917,                0.47313,                 1.3429,                 1.4808,                 1.7357,              0.0018931,              0.0018931,              0.0018931
